Punktadresse,PArt,Lsys,LageDatum,LBearb,LAuftr,LText,StationGISKm,RechtswertM2,HochwertM2,RechtswertM3,HochwertM3,RechtswertM4,HochwertM4,RechtswertM5,HochwertM5,ETRF_Xwert,ETRF_Ywert,ETRF_Zwert,HR0HöheM,HR0Datum,HR0Bea,HR0Auf,HR0Text,HO0HöheM,HO0Datum,HO0Bea,HO0Auf,HO0Text,PPT JPG PDF
6072AV00281,PS0,FR0,3/31/2017,I-D-BGD,17B999,15012,101270000,0,0,0,0,0,0,5402154.88,5826743.747,0,0,0,57.3116,3/31/2017,I-D-BGD,17B999,15012,57.3181,3/31/2017,I-D-BGD,17B999,15012, PPT  JPG  PDF
6078BA00281,PS0,FR0,3/31/2017,I-D-BGD,17B999,15027,100850000,0,0,0,0,0,0,5402671.292,5820387.926,0,0,0,48.5095,3/31/2017,I-D-BGD,17B999,15027,48.5182,3/31/2017,I-D-BGD,17B999,15027, PPT  JPG  PDF
6078BC00281,PS0,FR0,3/31/2017,I-D-BGD,17B999,65001,106300000,0,0,0,0,0,0,5404220.316,5820755.073,0,0,0,56.4947,3/31/2017,I-D-BGD,17B999,65001,56.5023,3/31/2017,I-D-BGD,17B999,65001, PPT  JPG  PDF
6078BE00282,PS0,FR0,11/28/2017,EPV-GIV,17B080,77279,101190088,0,0,0,0,0,0,5405496.655,5819958.309,0,0,0,0,---------,-------,-------,-------,55.0617,11/28/2017,EPV-GIV,17B080,77279, PPT  JPG  PDF
6078BH00281,PS0,FR0,3/31/2017,I-D-BGD,17B999,16532,101500000,0,0,0,0,0,0,5408458.305,5821126.97,0,0,0,55.9145,3/31/2017,I-D-BGD,17B999,16532,55.922,3/31/2017,I-D-BGD,17B999,16532, PPT  JPG  PDF
6080BH00281,PS0,FR0,3/31/2017,I-D-BGD,17B999,15029,100880000,0,0,0,0,0,0,5400697.257,5823286.323,0,0,0,59.8513,3/31/2017,I-D-BGD,17B999,15029,59.8591,3/31/2017,I-D-BGD,17B999,15029, PPT  JPG  PDF
6153AR00281,PS0,ER0,3/31/2017,I-D-BGD,17B999,15024,100350000,0,0,0,0,4600496.532,5819303.136,0,0,0,0,0,34.7414,3/31/2017,I-D-BGD,17B999,15024,34.7483,3/31/2017,I-D-BGD,17B999,15024, PPT  JPG  PDF
6153BB00282,PS0,FR0,6/21/2019,GIC,19B0099,77280,100730083,0,0,0,0,0,0,5400141.667,5817305.722,0,0,0,0,---------,-------,-------,-------,40.234,6/21/2019,GIC,19B0099,77280, PPT  JPG  PDF
6153BF00281,PS0,FR0,3/31/2017,I-D-BGD,17B999,15025,101050000,0,0,0,0,0,0,5402146.746,5814277.696,0,0,0,42.0944,3/31/2017,I-D-BGD,17B999,15025,42.1026,3/31/2017,I-D-BGD,17B999,15025, PPT  JPG  PDF
6153BS00282,PS0,FR0,1/16/2018,GIC,18B006,77300,101590049,0,0,0,0,0,0,5407898.102,5814473.045,0,0,0,0,---------,-------,-------,-------,37.4966,1/16/2018,GIC,18B006,77300, PPT  JPG  PDF
